page,title,q_num,question,option_a,option_b,option_c,correct_letter,correct_text
52,Obliczenia procentowe — wszystkie typy,5,Zmniejszenie o p%: × …,(1 − p/100),100,(1 + p/100),A,(1 − p/100)
52,Obliczenia procentowe — wszystkie typy,6,+20% potem −20% — wraca do startu?,tylko gdy p = 0,tak,nie,C,nie
52,Obliczenia procentowe — wszystkie typy,7,15% z 80 = ?,15,12,80,B,12
52,Obliczenia procentowe — wszystkie typy,8,20 to ile % z 50?,40%,50%,20%,A,40%
52,Obliczenia procentowe — wszystkie typy,9,50% z 90 = ?,140,50,45,C,45
52,Obliczenia procentowe — wszystkie typy,10,10% z 10 = ?,10,1,100,B,1
53,Notacja wykładnicza i potęga potęgi,1,3000 w notacji wykładniczej = ?,3 · 10²,3 · 10³,30 · 10,B,3 · 10³
53,Notacja wykładnicza i potęga potęgi,2,"0,002 = ?",2 · 10⁻³,2 · 10⁻¹,2 · 10³,A,2 · 10⁻³
53,Notacja wykładnicza i potęga potęgi,3,(aᵐ)ⁿ = ?,aᵐ⁻ⁿ,aᵐ⁺ⁿ,aᵐⁿ,C,aᵐⁿ
53,Notacja wykładnicza i potęga potęgi,4,aᵐ · aⁿ = ?,aᵐⁿ,aᵐ⁺ⁿ,aᵐ⁻ⁿ,B,aᵐ⁺ⁿ
53,Notacja wykładnicza i potęga potęgi,5,aᵐ / aⁿ = ?,aᵐ⁻ⁿ,aᵐⁿ,aᵐ⁺ⁿ,A,aᵐ⁻ⁿ
53,Notacja wykładnicza i potęga potęgi,6,(2³)² = ?,4³ = 64 tylko inny zapis bez potęgi potęgi,2⁵ = 32,2⁶ = 64,C,2⁶ = 64
53,Notacja wykładnicza i potęga potęgi,7,Po co notacja wykładnicza?,tylko kąty,bardzo duże / małe liczby,tylko daty,B,bardzo duże / małe liczby
53,Notacja wykładnicza i potęga potęgi,8,10⁰ = ?,1,10,0,A,1
53,Notacja wykładnicza i potęga potęgi,9,5 · 10² = ?,5,50,500,C,500
53,Notacja wykładnicza i potęga potęgi,10,10³ = ?,100,1000,30,B,1000
54,Pierwiastek sześcienny i działania na √,1,∛8 = ?,4,2,8,B,2
54,Pierwiastek sześcienny i działania na √,2,∛27 = ?,3,27,9,A,3
54,Pierwiastek sześcienny i działania na √,3,"Jeśli ∛a = b, to…",b = a + 3,b² = a,b³ = a,C,b³ = a
54,Pierwiastek sześcienny i działania na √,4,√(a·b) = ?,√a + √b,"√a · √b (a,b ≥ 0)",a · b,B,"√a · √b (a,b ≥ 0)"
54,Pierwiastek sześcienny i działania na √,5,√50 = ?,5√2,10,25√2,A,5√2
54,Pierwiastek sześcienny i działania na √,6,Wyłączanie sprzed pierwiastka: szukamy…,dat,kątów prostych,kwadratów doskonałych,C,kwadratów doskonałych
54,Pierwiastek sześcienny i działania na √,7,∛(−8) = ?,2,−2,8,B,−2
54,Pierwiastek sześcienny i działania na √,8,√(a/b) = ?,√a / √b (b > 0),a / b bez pierwiastka zawsze,√a · √b,A,√a / √b (b > 0)
54,Pierwiastek sześcienny i działania na √,9,√16 · √9 = ?,7,25,12,C,12
54,Pierwiastek sześcienny i działania na √,10,∛1 = ?,0,1,3,B,1
55,Mnożenie wyrażeń algebraicznych,1,3(x+2) = ?,3x+2,3x+6,x+6,B,3x+6
55,Mnożenie wyrażeń algebraicznych,2,(a+b)(c+d) = ?,ac+ad+bc+bd,ac+bd,a+b+c+d,A,ac+ad+bc+bd
55,Mnożenie wyrażeń algebraicznych,3,(x+2)(x+3) = ?,x²+5,x²+6,x²+5x+6,C,x²+5x+6
55,Mnożenie wyrażeń algebraicznych,4,Metoda: każdy z…,nikim,każdym,tylko pierwszym,B,każdym
55,Mnożenie wyrażeń algebraicznych,5,2x · (3x−1) = ?,6x²−2x,6x−2,5x−1,A,6x²−2x
55,Mnożenie wyrażeń algebraicznych,6,(x−1)(x+1) = ?,x−1,x²+1,x²−1,C,x²−1
55,Mnożenie wyrażeń algebraicznych,7,Sprawdzenie: podstaw…,tylko °C,liczbę za x,tylko datę,B,liczbę za x
55,Mnożenie wyrażeń algebraicznych,8,Znaki minus: uważaj na…,znaki przy iloczynach,czcionkę,kolor kartki,A,znaki przy iloczynach
55,Mnożenie wyrażeń algebraicznych,9,(x+1)(x+1) = ?,2x+1,x²+1,x²+2x+1,C,x²+2x+1
55,Mnożenie wyrażeń algebraicznych,10,Jednomian × suma: rozdzielasz…,tylko na zero,na każdy wyraz,tylko na kąt,B,na każdy wyraz
56,Podział proporcjonalny,1,Podział proporcjonalny: dzielimy w…,losowy sposób,danym stosunku,tylko na pół zawsze,B,danym stosunku
56,Podział proporcjonalny,2,Stosunek 2:3 oznacza…,2 części i 3 części,2 × 3 tylko,2 + 3 = wynik tylko,A,2 części i 3 części
56,Podział proporcjonalny,3,Suma części przy 2:3 = ?,1,6,5,C,5
56,Podział proporcjonalny,4,100 zł w 2:3 → części?,50 zł i 50 zł,40 zł i 60 zł,20 zł i 80 zł,B,40 zł i 60 zł
56,Podział proporcjonalny,5,"1:2:3, suma 60 → pierwszej?",10,30,20,A,10
56,Podział proporcjonalny,6,Sprawdzenie: suma udziałów = ?,stosunek bez sumy,zero,całość,C,całość
56,Podział proporcjonalny,7,Po co podział proporcjonalny?,mierzenie °C,sprawiedliwy podział według udziałów,rysowanie tylko osi,B,sprawiedliwy podział według udziałów
56,Podział proporcjonalny,8,Stosunek 1:1 oznacza…,równo,wszystko pierwszej osobie,nic nikomu,A,równo
56,Podział proporcjonalny,9,3:5 — ile części razem?,2,15,8,C,8
56,Podział proporcjonalny,10,Udział = część / …,różnica części,suma części,iloczyn części,B,suma części
57,Twierdzenie Pitagorasa,1,Twierdzenie Pitagorasa (prostokątny):,a + b = c,a² + b² = c²,a² − b² = c,B,a² + b² = c²
57,Twierdzenie Pitagorasa,2,c to…,przeciwprostokątna (naprzeciw 90°),kąt,przyprostokątna zawsze,A,przeciwprostokątna (naprzeciw 90°)
57,Twierdzenie Pitagorasa,3,"a, b to…",pola,przeciwprostokątne obie,przyprostokątne,C,przyprostokątne
57,Twierdzenie Pitagorasa,4,"Jeśli a=3, b=4, c=?",7,5,12,B,5
57,Twierdzenie Pitagorasa,5,"3,4,5 to…",trójka pitagorejska,procenty,kąty trójkąta,A,trójka pitagorejska
57,Twierdzenie Pitagorasa,6,Gdy znasz c i a: b = ?,c · a,c + a,√(c² − a²),C,√(c² − a²)
57,Twierdzenie Pitagorasa,7,Działa w trójkącie…,dowolnym zawsze bez warunku,prostokątnym,tylko równobocznym bez 90°,B,prostokątnym
57,Twierdzenie Pitagorasa,8,Drabina przy ścianie — przykład…,Pitagorasa,średniej,procentu,A,Pitagorasa
57,Twierdzenie Pitagorasa,9,"a=5, b=12, c=?",7,17,13,C,13
57,Twierdzenie Pitagorasa,10,c jest naprzeciw kąta…,ostrego zawsze najmniejszego,prostego,zerowego,B,prostego
58,Przystawanie trójkątów,1,Przystawanie trójkątów oznacza…,tylko podobne kąty bez boków,można nałożyć / równe boki i kąty,różne rozmiary zawsze,B,można nałożyć / równe boki i kąty
58,Przystawanie trójkątów,2,Cecha BBB:,bok–bok–bok,bok–kąt,kąt–kąt–kąt,A,bok–bok–bok
58,Przystawanie trójkątów,3,Cecha BKB:,tylko kąty,bok–bok–kąt dowolny,bok–kąt–bok (kąt między),C,bok–kąt–bok (kąt między)
58,Przystawanie trójkątów,4,Cecha KBK:,bok–bok–bok,kąt–bok–kąt,tylko BBB,B,kąt–bok–kąt
58,Przystawanie trójkątów,5,Przy BKB kąt musi być…,zawarty między bokami,zerowy,naprzeciw dowolnego boku zawsze,A,zawarty między bokami
58,Przystawanie trójkątów,6,Po co cechy przystawania?,policzyć %,zważyć bryłę,udowodnić równość bez mierzenia wszystkiego,C,udowodnić równość bez mierzenia wszystkiego
58,Przystawanie trójkątów,7,Czy AAA wystarcza do przystawania?,tak,nie (tylko podobieństwo),tylko w kl. 1,B,nie (tylko podobieństwo)
58,Przystawanie trójkątów,8,Przystające trójkąty mają równe…,odpowiadające boki i kąty,tylko kolory,tylko jeden bok,A,odpowiadające boki i kąty
58,Przystawanie trójkątów,9,BBB porównuje…,jedną średnicę,trzy kąty tylko,trzy boki,C,trzy boki
58,Przystawanie trójkątów,10,Przystawanie ≠ …,równość kąta prostego tylko jako definicja,podobieństwo (skala),nazwa osi,B,podobieństwo (skala)
59,Środek i długość odcinka,1,Środek odcinka AB (wzór):,"(x₁+x₂, y₁+y₂)","((x₁+x₂)/2, (y₁+y₂)/2)","(x₁−x₂, y₁−y₂)",B,"((x₁+x₂)/2, (y₁+y₂)/2)"
59,Środek i długość odcinka,2,Długość odcinka:,√((x₂−x₁)²+(y₂−y₁)²),x₂+y₂,|x₂−x₁| tylko zawsze,A,√((x₂−x₁)²+(y₂−y₁)²)
59,Środek i długość odcinka,3,"Środek (0,0) i (4,2) to…","(0,0)","(4,2)","(2,1)",C,"(2,1)"
59,Środek i długość odcinka,4,"Długość (0,0) do (3,4) = ?",7,5,12,B,5
59,Środek i długość odcinka,5,Gdy znasz środek i jeden koniec — znajdziesz…,drugi koniec,masę,kąt π,A,drugi koniec
59,Środek i długość odcinka,6,Punkty kratowe mają…,tylko °C,tylko ułamki,całkowite współrzędne,C,całkowite współrzędne
59,Środek i długość odcinka,7,"Odległość (1,1) do (1,5) = ?",5,4,0,B,4
59,Środek i długość odcinka,8,Środek dzieli odcinek…,na pół,w stosunku 2:3 zawsze,na 3 części,A,na pół
59,Środek i długość odcinka,9,Na mapie w kratkę liczymy…,tylko BLIK,tylko temperaturę,środek i odległość,C,środek i odległość
59,Środek i długość odcinka,10,Wzór długości to…,tylko dodawanie x,tw. Pitagorasa na kratce,tylko y,B,tw. Pitagorasa na kratce
60,Symetralna i dwusieczna,1,Symetralna odcinka to…,dwusieczna kąta,prosta ⊥ w środku odcinka,oś X zawsze,B,prosta ⊥ w środku odcinka
60,Symetralna i dwusieczna,2,Punkt na symetralnej jest…,w równej odległości od A i B,w temperaturze 0,bliżej tylko A,A,w równej odległości od A i B
60,Symetralna i dwusieczna,3,Dwusieczna kąta to…,średnica koła zawsze,prosta ∥ do boku,półprosta dzieląca kąt na pół,C,półprosta dzieląca kąt na pół
60,Symetralna i dwusieczna,4,Punkty na dwusiecznej są…,tylko w ∞,w równej odległości od ramion,tylko w 0,B,w równej odległości od ramion
60,Symetralna i dwusieczna,5,Przecięcie symetralnych w trójkącie to…,środek okręgu opisanego,wierzchołek tylko,środek okręgu wpisanego,A,środek okręgu opisanego
60,Symetralna i dwusieczna,6,Przecięcie dwusiecznych to…,"punkt (0,0) zawsze",środek okręgu opisanego,środek okręgu wpisanego,C,środek okręgu wpisanego
60,Symetralna i dwusieczna,7,Symetralna dzieli odcinek…,na 3 części,na pół i pod 90°,pod 45° zawsze,B,na pół i pod 90°
60,Symetralna i dwusieczna,8,Dwusieczna 80° dzieli na…,dwa kąty po 40°,80° i 0°,90° i −10°,A,dwa kąty po 40°
60,Symetralna i dwusieczna,9,⊥ w środku = …,tylko cięciwa,tylko sieczna,symetralna,C,symetralna
60,Symetralna i dwusieczna,10,Dwusieczna „tnie” kąt…,na ćwiartki zawsze,na pół,w ogóle nie,B,na pół
61,Stosunki przestrzenne i porównywanie,1,Prawa ręka — to strona…,lewa zawsze,prawa (na sobie),góra,B,prawa (na sobie)
61,Stosunki przestrzenne i porównywanie,2,Góra na rysunku — ku…,górze strony / niebu,tylko lewo,dółowi zawsze,A,górze strony / niebu
61,Stosunki przestrzenne i porównywanie,3,Przed = …,nad głową zawsze,dalej z tyłu,bliżej Ciebie,C,bliżej Ciebie
61,Stosunki przestrzenne i porównywanie,4,Za = …,bliżej Ciebie,dalej / z tyłu,obok zawsze,B,dalej / z tyłu
61,Stosunki przestrzenne i porównywanie,5,Obok = …,z boku,pod zawsze tylko,nad,A,z boku
61,Stosunki przestrzenne i porównywanie,6,Dłuższy szalik vs krótszy — porównujemy…,temperaturę,masę,długość,C,długość
61,Stosunki przestrzenne i porównywanie,7,Cięższa książka vs lżejszy piórnik — porównujemy…,długość,masę / ciężar,czas,B,masę / ciężar
61,Stosunki przestrzenne i porównywanie,8,Najpierw ustal…,względem czego porównujesz,datę tylko,kolor kredki tylko,A,względem czego porównujesz
61,Stosunki przestrzenne i porównywanie,9,●●●● i ●● — którego więcej?,tyle samo,drugiego,pierwszego,C,pierwszego
61,Stosunki przestrzenne i porównywanie,10,Czy prawo na sobie = zawsze prawo na obrazku?,tak zawsze,nie — sprawdź!,tylko w lustrze bez sprawdzenia,B,nie — sprawdź!
61,Stosunki przestrzenne i porównywanie,11,Więcej / mniej / tyle samo — to…,porównanie ilości,jednostka masy,nazwa kąta,A,porównanie ilości
61,Stosunki przestrzenne i porównywanie,12,Porównuj długość z…,temperaturą zawsze,ciężarem,długością,C,długością
